id_mission,Description,ImageURL,bonne_reponse,id_oiseaux,mauvaise_reponse
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Merle noir,164,Alouette calandrelle
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Mésange charbonnière,168,Alouette lulu
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Mésange bleue,166,Bécassine des marais
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Moineau domestique,174,Bergeronnette printanière
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Pie bavarde,198,Canard chipeau
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Pinson des arbres,205,Canard siffleur
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Alouette des champs,7,Chardonneret élégant
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Étourneau sansonnet,88,Corneille noire
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Tourterelle turque,253,Corbeau freux
Les plus communs de France,"Ce quiz réunit les oiseaux que tu croises partout en France. Les sons familiers que tu entends chaque jour, mais sans toujours savoir les nommer. L’occasion d’apprendre à reconnaître enfin les voix les plus communes.",,Fauvette à tête noire,94,Tourterelle des bois
,,,Rouge-gorge familier,230,Hirondelle de fenêtre
,,,Troglodyte mignon,256,Hirondelle de rivage
,,,Pouillot véloce,218,Linotte mélodieuse
,,,Grive musicienne,126,Serin cini
,,,Bergeronnette grise,21,Bruant jaune
,,,Gallinule poule-d’eau,105,Bruant zizi
,,,Canard colvert,45,Rossignol philomèle
,,,Foulque macroule,102,Pouillot fitis
,,,Goéland argenté,111,Hypolaïs polyglotte
,,,Choucas des tours,59,Rougequeue noir
,,,,,Rougequeue à front blanc
,,,,,Accenteur mouchet
,,,,,Pic épeiche
,,,,,Pic vert
,,,,,Grive draine
,,,,,Grive litorne
,,,,,Fauvette grisette
,,,,,Fauvette babillarde
,,,,,Goéland brun
,,,,,Mouette rieuse