id_mission,bonne_reponse,id_bonne_reponse,mauvaise_reponse
Les voix les plus rares,Aigle royal,MANQUANT,Busard Saint-Martin
Les voix les plus rares,Gypaète barbu,MANQUANT,Busard des roseaux
Les voix les plus rares,Vautour fauve,MANQUANT,Bondrée apivore
Les voix les plus rares,Vautour moine,MANQUANT,Autour des palombes
Les voix les plus rares,Circaète Jean-le-Blanc,MANQUANT,Épervier d’Europe
Les voix les plus rares,Faucon pèlerin,92,Aigle de Bonelli
Les voix les plus rares,Tichodrome échelette,MANQUANT,Balbuzard pêcheur
Les voix les plus rares,Grand Tétras,119,Grand Cormoran
Les voix les plus rares,Tétras lyre,250,Cormoran huppé
Les voix les plus rares,Lagopède alpin,151,Harle bièvre
Les voix les plus rares,Puffin des Baléares,MANQUANT,Harle piette
Les voix les plus rares,Océanite tempête,MANQUANT,Eider à duvet
Les voix les plus rares,Fou de Bassan,101,Macreuse noire
Les voix les plus rares,Fulmar boréal,104,Plongeon imbrin
Les voix les plus rares,Bécasse des bois,15,Plongeon arctique
,,,Plongeon catmarin
,,,Fuligule milouin
,,,Fuligule morillon
,,,Spatule blanche
,,,Grande Aigrette
,,,Héron garde-bœufs
,,,Cigogne blanche
,,,Cigogne noire
,,,Puffin de Scopoli
,,,Puffin fuligineux
,,,Océanite culblanc
,,,Grand Labbe
,,,Macareux moine
,,,Pluvier guignard
,,,Perdrix bartavelle